Initial Investment:		1
Recurring Monthly Investment:	1
Start Month:			1
Start Year:			1
End Month:			12
End Year:			10000
Annual Rate of Return (%):	1
--- Output ---
773.06) 9270/2707176/2697906/99.66%
773.07) 9271/2709433/2700162/99.66%
773.08) 9272/2711692/2702420/99.66%
773.09) 9273/2713953/2704680/99.66%
773.10) 9274/2716216/2706942/99.66%
773.11) 9275/2718480/2709205/99.66%
773.12) 9276/2720746/2711470/99.66%
774.01) 9277/2723015/2713738/99.66%
774.02) 9278/2725285/2716007/99.66%
774.03) 9279/2727557/2718278/99.66%
774.04) 9280/2729831/2720551/99.66%
774.05) 9281/2732107/2722826/99.66%
774.06) 9282/2734385/2725103/99.66%
774.07) 9283/2736664/2727381/99.66%
774.08) 9284/2738946/2729662/99.66%
774.09) 9285/2741229/2731944/99.66%
774.10) 9286/2743515/2734229/99.66%
774.11) 9287/2745802/2736515/99.66%
774.12) 9288/2748091/2738803/99.66%
775.01) 9289/2750382/2741093/99.66%
775.02) 9290/2752675/2743385/99.66%
775.03) 9291/2754970/2745679/99.66%
775.04) 9292/2757267/2747975/99.66%
775.05) 9293/2759566/2750273/99.66%
775.06) 9294/2761866/2752572/99.66%
775.07) 9295/2764169/2754874/99.66%
775.08) 9296/2766473/2757177/99.66%
775.09) 9297/2768780/2759483/99.66%
775.10) 9298/2771088/2761790/99.66%
775.11) 9299/2773398/2764099/99.66%
775.12) 9300/2775710/2766410/99.66%
776.01) 9301/2778024/2768723/99.67%
776.02) 9302/2780340/2771038/99.67%
776.03) 9303/2782658/2773355/99.67%
776.04) 9304/2784978/2775674/99.67%
776.05) 9305/2787300/2777995/99.67%
776.06) 9306/2789624/2780318/99.67%
776.07) 9307/2791949/2782642/99.67%
776.08) 9308/2794277/2784969/99.67%
776.09) 9309/2796607/2787298/99.67%
776.10) 9310/2798938/2789628/99.67%
776.11) 9311/2801272/2791961/99.67%
776.12) 9312/2803607/2794295/99.67%
777.01) 9313/2805944/2796631/99.67%
777.02) 9314/2808284/2798970/99.67%
777.03) 9315/2810625/2801310/99.67%
777.04) 9316/2812968/2803652/99.67%
777.05) 9317/2815313/2805996/99.67%
777.06) 9318/2817660/2808342/99.67%
777.07) 9319/2820009/2810690/99.67%
777.08) 9320/2822360/2813040/99.67%
777.09) 9321/2824713/2815392/99.67%
777.10) 9322/2827068/2817746/99.67%
777.11) 9323/2829425/2820102/99.67%
777.12) 9324/2831784/2822460/99.67%
778.01) 9325/2834145/2824820/99.67%
778.02) 9326/2836508/2827182/99.67%
778.03) 9327/2838872/2829545/99.67%
778.04) 9328/2841239/2831911/99.67%
778.05) 9329/2843608/2834279/99.67%
778.06) 9330/2845978/2836648/99.67%
778.07) 9331/2848351/2839020/99.67%
778.08) 9332/2850726/2841394/99.67%
778.09) 9333/2853102/2843769/99.67%
778.10) 9334/2855481/2846147/99.67%
778.11) 9335/2857862/2848527/99.67%
778.12) 9336/2860244/2850908/99.67%
779.01) 9337/2862629/2853292/99.67%
779.02) 9338/2865015/2855677/99.67%
779.03) 9339/2867404/2858065/99.67%
779.04) 9340/2869794/2860454/99.67%
779.05) 9341/2872187/2862846/99.67%
779.06) 9342/2874581/2865239/99.68%
779.07) 9343/2876978/2867635/99.68%
779.08) 9344/2879376/2870032/99.68%
779.09) 9345/2881777/2872432/99.68%
779.10) 9346/2884179/2874833/99.68%
779.11) 9347/2886584/2877237/99.68%
779.12) 9348/2888990/2879642/99.68%
780.01) 9349/2891398/2882049/99.68%
780.02) 9350/2893809/2884459/99.68%
780.03) 9351/2896222/2886871/99.68%
780.04) 9352/2898636/2889284/99.68%
780.05) 9353/2901053/2891700/99.68%
780.06) 9354/2903471/2894117/99.68%
780.07) 9355/2905892/2896537/99.68%
780.08) 9356/2908314/2898958/99.68%
780.09) 9357/2910739/2901382/99.68%
780.10) 9358/2913165/2903807/99.68%
780.11) 9359/2915594/2906235/99.68%
780.12) 9360/2918025/2908665/99.68%
781.01) 9361/2920457/2911096/99.68%
781.02) 9362/2922892/2913530/99.68%
781.03) 9363/2925329/2915966/99.68%
781.04) 9364/2927768/2918404/99.68%
781.05) 9365/2930208/2920843/99.68%
781.06) 9366/2932651/2923285/99.68%
781.07) 9367/2935096/2925729/99.68%
781.08) 9368/2937543/2928175/99.68%
781.09) 9369/2939992/2930623/99.68%
781.10) 9370/2942443/2933073/99.68%
781.11) 9371/2944896/2935525/99.68%
781.12) 9372/2947351/2937979/99.68%
782.01) 9373/2949808/2940435/99.68%
782.02) 9374/2952267/2942893/99.68%
782.03) 9375/2954729/2945354/99.68%
782.04) 9376/2957192/2947816/99.68%
782.05) 9377/2959657/2950280/99.68%
782.06) 9378/2962125/2952747/99.68%
782.07) 9379/2964594/2955215/99.68%
782.08) 9380/2967066/2957686/99.68%
782.09) 9381/2969539/2960158/99.68%
782.10) 9382/2972015/2962633/99.68%
782.11) 9383/2974492/2965109/99.68%
782.12) 9384/2976972/2967588/99.68%
783.01) 9385/2979454/2970069/99.69%
783.02) 9386/2981938/2972552/99.69%
783.03) 9387/2984424/2975037/99.69%
783.04) 9388/2986912/2977524/99.69%
783.05) 9389/2989402/2980013/99.69%
783.06) 9390/2991894/2982504/99.69%
783.07) 9391/2994388/2984997/99.69%
783.08) 9392/2996885/2987493/99.69%
783.09) 9393/2999383/2989990/99.69%
783.10) 9394/3001884/2992490/99.69%
783.11) 9395/3004386/2994991/99.69%
783.12) 9396/3006891/2997495/99.69%
784.01) 9397/3009398/3000001/99.69%
784.02) 9398/3011906/3002508/99.69%
784.03) 9399/3014417/3005018/99.69%
784.04) 9400/3016930/3007530/99.69%
784.05) 9401/3019445/3010044/99.69%
784.06) 9402/3021963/3012561/99.69%
784.07) 9403/3024482/3015079/99.69%
784.08) 9404/3027003/3017599/99.69%
784.09) 9405/3029527/3020122/99.69%
784.10) 9406/3032052/3022646/99.69%
784.11) 9407/3034580/3025173/99.69%
784.12) 9408/3037110/3027702/99.69%
785.01) 9409/3039642/3030233/99.69%
785.02) 9410/3042176/3032766/99.69%
785.03) 9411/3044712/3035301/99.69%
785.04) 9412/3047250/3037838/99.69%
785.05) 9413/3049791/3040378/99.69%
785.06) 9414/3052333/3042919/99.69%
785.07) 9415/3054878/3045463/99.69%
785.08) 9416/3057425/3048009/99.69%
785.09) 9417/3059973/3050556/99.69%
785.10) 9418/3062524/3053106/99.69%
785.11) 9419/3065077/3055658/99.69%
785.12) 9420/3067633/3058213/99.69%
786.01) 9421/3070190/3060769/99.69%
786.02) 9422/3072750/3063328/99.69%
786.03) 9423/3075311/3065888/99.69%
786.04) 9424/3077875/3068451/99.69%
786.05) 9425/3080441/3071016/99.69%
786.06) 9426/3083009/3073583/99.69%
786.07) 9427/3085579/3076152/99.69%
786.08) 9428/3088151/3078723/99.69%
786.09) 9429/3090726/3081297/99.69%
786.10) 9430/3093302/3083872/99.7%
786.11) 9431/3095881/3086450/99.7%
786.12) 9432/3098462/3089030/99.7%
787.01) 9433/3101045/3091612/99.7%
787.02) 9434/3103630/3094196/99.7%
787.03) 9435/3106218/3096783/99.7%
787.04) 9436/3108807/3099371/99.7%
787.05) 9437/3111399/3101962/99.7%
787.06) 9438/3113993/3104555/99.7%
787.07) 9439/3116589/3107150/99.7%
787.08) 9440/3119187/3109747/99.7%
787.09) 9441/3121787/3112346/99.7%
787.10) 9442/3124390/3114948/99.7%
787.11) 9443/3126994/3117551/99.7%
787.12) 9444/3129601/3120157/99.7%
788.01) 9445/3132210/3122765/99.7%
788.02) 9446/3134821/3125375/99.7%
788.03) 9447/3137435/3127988/99.7%
788.04) 9448/3140050/3130602/99.7%
788.05) 9449/3142668/3133219/99.7%
788.06) 9450/3145288/3135838/99.7%
788.07) 9451/3147910/3138459/99.7%
788.08) 9452/3150534/3141082/99.7%
788.09) 9453/3153161/3143708/99.7%
788.10) 9454/3155789/3146335/99.7%
788.11) 9455/3158420/3148965/99.7%
788.12) 9456/3161053/3151597/99.7%
789.01) 9457/3163688/3154231/99.7%
789.02) 9458/3166326/3156868/99.7%
789.03) 9459/3168965/3159506/99.7%
789.04) 9460/3171607/3162147/99.7%
789.05) 9461/3174251/3164790/99.7%
789.06) 9462/3176897/3167435/99.7%
789.07) 9463/3179546/3170083/99.7%
789.08) 9464/3182196/3172732/99.7%
789.09) 9465/3184849/3175384/99.7%
789.10) 9466/3187504/3178038/99.7%
789.11) 9467/3190161/3180694/99.7%
789.12) 9468/3192821/3183353/99.7%
790.01) 9469/3195483/3186014/99.7%
790.02) 9470/3198147/3188677/99.7%
790.03) 9471/3200813/3191342/99.7%
790.04) 9472/3203481/3194009/99.7%
790.05) 9473/3206152/3196679/99.7%
790.06) 9474/3208824/3199350/99.7%
790.07) 9475/3211499/3202024/99.7%
790.08) 9476/3214177/3204701/99.71%
790.09) 9477/3216856/3207379/99.71%
790.10) 9478/3219538/3210060/99.71%
790.11) 9479/3222222/3212743/99.71%
790.12) 9480/3224908/3215428/99.71%
791.01) 9481/3227596/3218115/99.71%
791.02) 9482/3230287/3220805/99.71%
791.03) 9483/3232980/3223497/99.71%
791.04) 9484/3235675/3226191/99.71%
791.05) 9485/3238372/3228887/99.71%
791.06) 9486/3241072/3231586/99.71%
791.07) 9487/3243774/3234287/99.71%
791.08) 9488/3246478/3236990/99.71%
791.09) 9489/3249185/3239696/99.71%
791.10) 9490/3251893/3242403/99.71%
791.11) 9491/3254604/3245113/99.71%
791.12) 9492/3257317/3247825/99.71%
792.01) 9493/3260033/3250540/99.71%
792.02) 9494/3262750/3253256/99.71%
792.03) 9495/3265470/3255975/99.71%
792.04) 9496/3268193/3258697/99.71%
792.05) 9497/3270917/3261420/99.71%
792.06) 9498/3273644/3264146/99.71%
792.07) 9499/3276373/3266874/99.71%
792.08) 9500/3279104/3269604/99.71%
792.09) 9501/3281838/3272337/99.71%
792.10) 9502/3284574/3275072/99.71%
792.11) 9503/3287312/3277809/99.71%
792.12) 9504/3290052/3280548/99.71%
793.01) 9505/3292795/3283290/99.71%
793.02) 9506/3295540/3286034/99.71%
793.03) 9507/3298287/3288780/99.71%
793.04) 9508/3301037/3291529/99.71%
793.05) 9509/3303789/3294280/99.71%
793.06) 9510/3306543/3297033/99.71%
793.07) 9511/3309299/3299788/99.71%
793.08) 9512/3312058/3302546/99.71%
793.09) 9513/3314819/3305306/99.71%
793.10) 9514/3317582/3308068/99.71%
793.11) 9515/3320348/3310833/99.71%
793.12) 9516/3323116/3313600/99.71%
794.01) 9517/3325886/3316369/99.71%
794.02) 9518/3328659/3319141/99.71%
794.03) 9519/3331434/3321915/99.71%
794.04) 9520/3334211/3324691/99.71%
794.05) 9521/3336990/3327469/99.71%
794.06) 9522/3339772/3330250/99.71%
794.07) 9523/3342556/3333033/99.72%
794.08) 9524/3345343/3335819/99.72%
794.09) 9525/3348132/3338607/99.72%
794.10) 9526/3350923/3341397/99.72%
794.11) 9527/3353716/3344189/99.72%
794.12) 9528/3356512/3346984/99.72%
795.01) 9529/3359310/3349781/99.72%
795.02) 9530/3362110/3352580/99.72%
795.03) 9531/3364913/3355382/99.72%
795.04) 9532/3367718/3358186/99.72%
795.05) 9533/3370526/3360993/99.72%
795.06) 9534/3373336/3363802/99.72%
795.07) 9535/3376148/3366613/99.72%
795.08) 9536/3378962/3369426/99.72%
795.09) 9537/3381779/3372242/99.72%
795.10) 9538/3384598/3375060/99.72%
795.11) 9539/3387420/3377881/99.72%
795.12) 9540/3390243/3380703/99.72%
796.01) 9541/3393070/3383529/99.72%
796.02) 9542/3395898/3386356/99.72%
796.03) 9543/3398729/3389186/99.72%
796.04) 9544/3401562/3392018/99.72%
796.05) 9545/3404398/3394853/99.72%
796.06) 9546/3407236/3397690/99.72%
796.07) 9547/3410076/3400529/99.72%
796.08) 9548/3412919/3403371/99.72%
796.09) 9549/3415764/3406215/99.72%
796.10) 9550/3418612/3409062/99.72%
796.11) 9551/3421462/3411911/99.72%
796.12) 9552/3424314/3414762/99.72%
797.01) 9553/3427168/3417615/99.72%
797.02) 9554/3430025/3420471/99.72%
797.03) 9555/3432885/3423330/99.72%
797.04) 9556/3435746/3426190/99.72%
797.05) 9557/3438611/3429054/99.72%
797.06) 9558/3441477/3431919/99.72%
797.07) 9559/3444346/3434787/99.72%
797.08) 9560/3447217/3437657/99.72%
797.09) 9561/3450091/3440530/99.72%
797.10) 9562/3452967/3443405/99.72%
797.11) 9563/3455845/3446282/99.72%
797.12) 9564/3458726/3449162/99.72%
798.01) 9565/3461610/3452045/99.72%
798.02) 9566/3464495/3454929/99.72%
798.03) 9567/3467383/3457816/99.72%
798.04) 9568/3470274/3460706/99.72%
798.05) 9569/3473167/3463598/99.72%
798.06) 9570/3476062/3466492/99.72%
798.07) 9571/3478960/3469389/99.72%
798.08) 9572/3481860/3472288/99.73%
798.09) 9573/3484762/3475189/99.73%
798.10) 9574/3487667/3478093/99.73%
798.11) 9575/3490575/3481000/99.73%
798.12) 9576/3493485/3483909/99.73%
799.01) 9577/3496397/3486820/99.73%
799.02) 9578/3499311/3489733/99.73%
799.03) 9579/3502229/3492650/99.73%
799.04) 9580/3505148/3495568/99.73%
799.05) 9581/3508070/3498489/99.73%
799.06) 9582/3510994/3501412/99.73%
799.07) 9583/3513921/3504338/99.73%
799.08) 9584/3516851/3507267/99.73%
799.09) 9585/3519782/3510197/99.73%
799.10) 9586/3522716/3513130/99.73%
799.11) 9587/3525653/3516066/99.73%
799.12) 9588/3528592/3519004/99.73%
800.01) 9589/3531534/3521945/99.73%
800.02) 9590/3534477/3524887/99.73%
800.03) 9591/3537424/3527833/99.73%
800.04) 9592/3540373/3530781/99.73%
800.05) 9593/3543324/3533731/99.73%
800.06) 9594/3546278/3536684/99.73%
800.07) 9595/3549234/3539639/99.73%
800.08) 9596/3552193/3542597/99.73%
800.09) 9597/3555154/3545557/99.73%
800.10) 9598/3558118/3548520/99.73%
800.11) 9599/3561084/3551485/99.73%
800.12) 9600/3564052/3554452/99.73%
801.01) 9601/3567023/3557422/99.73%
801.02) 9602/3569997/3560395/99.73%
801.03) 9603/3572973/3563370/99.73%
801.04) 9604/3575951/3566347/99.73%
801.05) 9605/3578932/3569327/99.73%
801.06) 9606/3581916/3572310/99.73%
801.07) 9607/3584902/3575295/99.73%
801.08) 9608/3587890/3578282/99.73%
801.09) 9609/3590881/3581272/99.73%
801.10) 9610/3593874/3584264/99.73%
801.11) 9611/3596870/3587259/99.73%
801.12) 9612/3599869/3590257/99.73%
802.01) 9613/3602869/3593256/99.73%
802.02) 9614/3605873/3596259/99.73%
802.03) 9615/3608879/3599264/99.73%
802.04) 9616/3611887/3602271/99.73%
802.05) 9617/3614898/3605281/99.73%
802.06) 9618/3617911/3608293/99.73%
802.07) 9619/3620927/3611308/99.73%
802.08) 9620/3623946/3614326/99.73%
802.09) 9621/3626967/3617346/99.73%
802.10) 9622/3629990/3620368/99.73%
802.11) 9623/3633016/3623393/99.74%
802.12) 9624/3636045/3626421/99.74%
803.01) 9625/3639076/3629451/99.74%
803.02) 9626/3642109/3632483/99.74%
803.03) 9627/3645145/3635518/99.74%
803.04) 9628/3648184/3638556/99.74%
803.05) 9629/3651225/3641596/99.74%
803.06) 9630/3654269/3644639/99.74%
803.07) 9631/3657315/3647684/99.74%
803.08) 9632/3660364/3650732/99.74%
803.09) 9633/3663415/3653782/99.74%
803.10) 9634/3666469/3656835/99.74%
803.11) 9635/3669525/3659890/99.74%
803.12) 9636/3672584/3662948/99.74%
804.01) 9637/3675646/3666009/99.74%
804.02) 9638/3678710/3669072/99.74%
804.03) 9639/3681777/3672138/99.74%
804.04) 9640/3684846/3675206/99.74%
804.05) 9641/3687917/3678276/99.74%
804.06) 9642/3690992/3681350/99.74%
804.07) 9643/3694068/3684425/99.74%
804.08) 9644/3697148/3687504/99.74%
804.09) 9645/3700230/3690585/99.74%
804.10) 9646/3703314/3693668/99.74%
804.11) 9647/3706401/3696754/99.74%
804.12) 9648/3709491/3699843/99.74%
805.01) 9649/3712583/3702934/99.74%
805.02) 9650/3715678/3706028/99.74%
805.03) 9651/3718776/3709125/99.74%
805.04) 9652/3721876/3712224/99.74%
805.05) 9653/3724978/3715325/99.74%
805.06) 9654/3728083/3718429/99.74%
805.07) 9655/3731191/3721536/99.74%
805.08) 9656/3734301/3724645/99.74%
805.09) 9657/3737414/3727757/99.74%
805.10) 9658/3740530/3730872/99.74%
805.11) 9659/3743648/3733989/99.74%
805.12) 9660/3746769/3737109/99.74%
806.01) 9661/3749892/3740231/99.74%
806.02) 9662/3753018/3743356/99.74%
806.03) 9663/3756146/3746483/99.74%
806.04) 9664/3759277/3749613/99.74%
806.05) 9665/3762411/3752746/99.74%
806.06) 9666/3765547/3755881/99.74%
806.07) 9667/3768686/3759019/99.74%
806.08) 9668/3771828/3762160/99.74%
806.09) 9669/3774972/3765303/99.74%
806.10) 9670/3778119/3768449/99.74%
806.11) 9671/3781268/3771597/99.74%
806.12) 9672/3784420/3774748/99.74%
807.01) 9673/3787575/3777902/99.74%
807.02) 9674/3790732/3781058/99.74%
807.03) 9675/3793892/3784217/99.74%
807.04) 9676/3797055/3787379/99.75%
807.05) 9677/3800220/3790543/99.75%
807.06) 9678/3803388/3793710/99.75%
807.07) 9679/3806559/3796880/99.75%
807.08) 9680/3809732/3800052/99.75%
807.09) 9681/3812907/3803226/99.75%
807.10) 9682/3816086/3806404/99.75%
807.11) 9683/3819267/3809584/99.75%
807.12) 9684/3822451/3812767/99.75%
808.01) 9685/3825637/3815952/99.75%
808.02) 9686/3828826/3819140/99.75%
808.03) 9687/3832018/3822331/99.75%
808.04) 9688/3835212/3825524/99.75%
808.05) 9689/3838409/3828720/99.75%
808.06) 9690/3841609/3831919/99.75%
808.07) 9691/3844811/3835120/99.75%
808.08) 9692/3848016/3838324/99.75%
808.09) 9693/3851224/3841531/99.75%
808.10) 9694/3854434/3844740/99.75%
808.11) 9695/3857647/3847952/99.75%
808.12) 9696/3860863/3851167/99.75%
809.01) 9697/3864081/3854384/99.75%
809.02) 9698/3867302/3857604/99.75%
809.03) 9699/3870526/3860827/99.75%
809.04) 9700/3873753/3864053/99.75%
809.05) 9701/3876982/3867281/99.75%
809.06) 9702/3880214/3870512/99.75%
809.07) 9703/3883448/3873745/99.75%
809.08) 9704/3886685/3876981/99.75%
809.09) 9705/3889925/3880220/99.75%
809.10) 9706/3893168/3883462/99.75%
809.11) 9707/3896413/3886706/99.75%
809.12) 9708/3899661/3889953/99.75%
810.01) 9709/3902912/3893203/99.75%
810.02) 9710/3906165/3896455/99.75%
810.03) 9711/3909421/3899710/99.75%
810.04) 9712/3912680/3902968/99.75%
810.05) 9713/3915942/3906229/99.75%
810.06) 9714/3919206/3909492/99.75%
810.07) 9715/3922473/3912758/99.75%
810.08) 9716/3925743/3916027/99.75%
810.09) 9717/3929015/3919298/99.75%
810.10) 9718/3932290/3922572/99.75%
810.11) 9719/3935568/3925849/99.75%
810.12) 9720/3938849/3929129/99.75%
811.01) 9721/3942132/3932411/99.75%
811.02) 9722/3945418/3935696/99.75%
811.03) 9723/3948707/3938984/99.75%
811.04) 9724/3951999/3942275/99.75%
811.05) 9725/3955293/3945568/99.75%
811.06) 9726/3958590/3948864/99.75%
811.07) 9727/3961890/3952163/99.75%
811.08) 9728/3965193/3955465/99.75%
811.09) 9729/3968498/3958769/99.75%
811.10) 9730/3971806/3962076/99.76%
811.11) 9731/3975117/3965386/99.76%
811.12) 9732/3978431/3968699/99.76%
812.01) 9733/3981747/3972014/99.76%
812.02) 9734/3985066/3975332/99.76%
812.03) 9735/3988388/3978653/99.76%
812.04) 9736/3991713/3981977/99.76%
812.05) 9737/3995040/3985303/99.76%
812.06) 9738/3998370/3988632/99.76%
812.07) 9739/4001703/3991964/99.76%
812.08) 9740/4005039/3995299/99.76%
812.09) 9741/4008377/3998636/99.76%
812.10) 9742/4011719/4001977/99.76%
812.11) 9743/4015063/4005320/99.76%
812.12) 9744/4018410/4008666/99.76%
813.01) 9745/4021759/4012014/99.76%
813.02) 9746/4025112/4015366/99.76%
813.03) 9747/4028467/4018720/99.76%
813.04) 9748/4031825/4022077/99.76%
813.05) 9749/4035186/4025437/99.76%
813.06) 9750/4038550/4028800/99.76%
813.07) 9751/4041916/4032165/99.76%
813.08) 9752/4045285/4035533/99.76%
813.09) 9753/4048658/4038905/99.76%
813.10) 9754/4052032/4042278/99.76%
813.11) 9755/4055410/4045655/99.76%
813.12) 9756/4058791/4049035/99.76%
814.01) 9757/4062174/4052417/99.76%
814.02) 9758/4065560/4055802/99.76%
814.03) 9759/4068949/4059190/99.76%
814.04) 9760/4072341/4062581/99.76%
814.05) 9761/4075735/4065974/99.76%
814.06) 9762/4079133/4069371/99.76%
814.07) 9763/4082533/4072770/99.76%
814.08) 9764/4085936/4076172/99.76%
814.09) 9765/4089342/4079577/99.76%
814.10) 9766/4092751/4082985/99.76%
814.11) 9767/4096163/4086396/99.76%
814.12) 9768/4099577/4089809/99.76%
815.01) 9769/4102994/4093225/99.76%
815.02) 9770/4106415/4096645/99.76%
815.03) 9771/4109838/4100067/99.76%
815.04) 9772/4113263/4103491/99.76%
815.05) 9773/4116692/4106919/99.76%
815.06) 9774/4120124/4110350/99.76%
815.07) 9775/4123558/4113783/99.76%
815.08) 9776/4126995/4117219/99.76%
815.09) 9777/4130436/4120659/99.76%
815.10) 9778/4133879/4124101/99.76%
815.11) 9779/4137325/4127546/99.76%
815.12) 9780/4140773/4130993/99.76%
816.01) 9781/4144225/4134444/99.76%
816.02) 9782/4147680/4137898/99.76%
816.03) 9783/4151137/4141354/99.76%
816.04) 9784/4154597/4144813/99.76%
816.05) 9785/4158060/4148275/99.76%
816.06) 9786/4161526/4151740/99.76%
816.07) 9787/4164995/4155208/99.77%
816.08) 9788/4168467/4158679/99.77%
816.09) 9789/4171942/4162153/99.77%
816.10) 9790/4175420/4165630/99.77%
816.11) 9791/4178900/4169109/99.77%
816.12) 9792/4182383/4172591/99.77%
817.01) 9793/4185870/4176077/99.77%
817.02) 9794/4189359/4179565/99.77%
817.03) 9795/4192851/4183056/99.77%
817.04) 9796/4196346/4186550/99.77%
817.05) 9797/4199844/4190047/99.77%
817.06) 9798/4203345/4193547/99.77%
817.07) 9799/4206849/4197050/99.77%
817.08) 9800/4210355/4200555/99.77%
817.09) 9801/4213865/4204064/99.77%
817.10) 9802/4217378/4207576/99.77%
817.11) 9803/4220893/4211090/99.77%
817.12) 9804/4224412/4214608/99.77%
818.01) 9805/4227933/4218128/99.77%
818.02) 9806/4231457/4221651/99.77%
818.03) 9807/4234984/4225177/99.77%
818.04) 9808/4238515/4228707/99.77%
818.05) 9809/4242048/4232239/99.77%
818.06) 9810/4245584/4235774/99.77%
818.07) 9811/4249123/4239312/99.77%
818.08) 9812/4252665/4242853/99.77%
818.09) 9813/4256210/4246397/99.77%
818.10) 9814/4259757/4249943/99.77%
818.11) 9815/4263308/4253493/99.77%
818.12) 9816/4266862/4257046/99.77%
819.01) 9817/4270419/4260602/99.77%
819.02) 9818/4273978/4264160/99.77%
819.03) 9819/4277541/4267722/99.77%
819.04) 9820/4281107/4271287/99.77%
819.05) 9821/4284675/4274854/99.77%
819.06) 9822/4288247/4278425/99.77%
819.07) 9823/4291821/4281998/99.77%
819.08) 9824/4295399/4285575/99.77%
819.09) 9825/4298979/4289154/99.77%
819.10) 9826/4302563/4292737/99.77%
819.11) 9827/4306149/4296322/99.77%
819.12) 9828/4309739/4299911/99.77%
820.01) 9829/4313331/4303502/99.77%
820.02) 9830/4316927/4307097/99.77%
820.03) 9831/4320525/4310694/99.77%
820.04) 9832/4324126/4314294/99.77%
820.05) 9833/4327731/4317898/99.77%
820.06) 9834/4331338/4321504/99.77%
820.07) 9835/4334949/4325114/99.77%
820.08) 9836/4338562/4328726/99.77%
820.09) 9837/4342179/4332342/99.77%
820.10) 9838/4345798/4335960/99.77%
820.11) 9839/4349421/4339582/99.77%
820.12) 9840/4353046/4343206/99.77%
821.01) 9841/4356675/4346834/99.77%
821.02) 9842/4360306/4350464/99.77%
821.03) 9843/4363941/4354098/99.77%
821.04) 9844/4367579/4357735/99.77%
821.05) 9845/4371219/4361374/99.77%
821.06) 9846/4374863/4365017/99.77%
821.07) 9847/4378510/4368663/99.78%
821.08) 9848/4382159/4372311/99.78%
821.09) 9849/4385812/4375963/99.78%
821.10) 9850/4389468/4379618/99.78%
821.11) 9851/4393127/4383276/99.78%
821.12) 9852/4396789/4386937/99.78%
822.01) 9853/4400454/4390601/99.78%
822.02) 9854/4404122/4394268/99.78%
822.03) 9855/4407793/4397938/99.78%
822.04) 9856/4411467/4401611/99.78%
822.05) 9857/4415144/4405287/99.78%
822.06) 9858/4418825/4408967/99.78%
822.07) 9859/4422508/4412649/99.78%
822.08) 9860/4426194/4416334/99.78%
822.09) 9861/4429884/4420023/99.78%
822.10) 9862/4433576/4423714/99.78%
822.11) 9863/4437272/4427409/99.78%
822.12) 9864/4440971/4431107/99.78%
823.01) 9865/4444673/4434808/99.78%
823.02) 9866/4448378/4438512/99.78%
823.03) 9867/4452085/4442218/99.78%
823.04) 9868/4455797/4445929/99.78%
823.05) 9869/4459511/4449642/99.78%
823.06) 9870/4463228/4453358/99.78%
823.07) 9871/4466948/4457077/99.78%
823.08) 9872/4470672/4460800/99.78%
823.09) 9873/4474398/4464525/99.78%
823.10) 9874/4478128/4468254/99.78%
823.11) 9875/4481861/4471986/99.78%
823.12) 9876/4485597/4475721/99.78%
824.01) 9877/4489336/4479459/99.78%
824.02) 9878/4493078/4483200/99.78%
824.03) 9879/4496823/4486944/99.78%
824.04) 9880/4500571/4490691/99.78%
824.05) 9881/4504323/4494442/99.78%
824.06) 9882/4508077/4498195/99.78%
824.07) 9883/4511835/4501952/99.78%
824.08) 9884/4515596/4505712/99.78%
824.09) 9885/4519360/4509475/99.78%
824.10) 9886/4523127/4513241/99.78%
824.11) 9887/4526897/4517010/99.78%
824.12) 9888/4530671/4520783/99.78%
825.01) 9889/4534447/4524558/99.78%
825.02) 9890/4538227/4528337/99.78%
825.03) 9891/4542010/4532119/99.78%
825.04) 9892/4545796/4535904/99.78%
825.05) 9893/4549585/4539692/99.78%
825.06) 9894/4553377/4543483/99.78%
825.07) 9895/4557173/4547278/99.78%
825.08) 9896/4560972/4551076/99.78%
825.09) 9897/4564773/4554876/99.78%
825.10) 9898/4568578/4558680/99.78%
825.11) 9899/4572387/4562488/99.78%
825.12) 9900/4576198/4566298/99.78%
826.01) 9901/4580012/4570111/99.78%
826.02) 9902/4583830/4573928/99.78%
826.03) 9903/4587651/4577748/99.78%
826.04) 9904/4591475/4581571/99.78%
826.05) 9905/4595302/4585397/99.78%
826.06) 9906/4599133/4589227/99.78%
826.07) 9907/4602966/4593059/99.78%
826.08) 9908/4606803/4596895/99.78%
826.09) 9909/4610643/4600734/99.79%
826.10) 9910/4614486/4604576/99.79%
826.11) 9911/4618333/4608422/99.79%
826.12) 9912/4622182/4612270/99.79%
827.01) 9913/4626035/4616122/99.79%
827.02) 9914/4629891/4619977/99.79%
827.03) 9915/4633750/4623835/99.79%
827.04) 9916/4637613/4627697/99.79%
827.05) 9917/4641478/4631561/99.79%
827.06) 9918/4645347/4635429/99.79%
827.07) 9919/4649219/4639300/99.79%
827.08) 9920/4653095/4643175/99.79%
827.09) 9921/4656973/4647052/99.79%
827.10) 9922/4660855/4650933/99.79%
827.11) 9923/4664740/4654817/99.79%
827.12) 9924/4668629/4658705/99.79%
828.01) 9925/4672520/4662595/99.79%
828.02) 9926/4676415/4666489/99.79%
828.03) 9927/4680313/4670386/99.79%
828.04) 9928/4684214/4674286/99.79%
828.05) 9929/4688119/4678190/99.79%
828.06) 9930/4692026/4682096/99.79%
828.07) 9931/4695937/4686006/99.79%
